ticker,currentPrice,low52Week,high52Week,sharesShort,sharesShortPriorMonth,shortChange,shortInterest,averageVolume,marketcap,enterpriseValue,trailingPE,forwardPE,trailingEPS,forwardEPS
GTLS,160.417,101.44,242.59,6771110.0,6714074.0,0.8494991267596992,15.842893275712406,425540,6856078336.0,10949473280.0,200.52126,14.01022,,
AXSM,66.395,38.87,91.29,7465795.0,8237449.0,-9.367633110687544,15.820378885804494,712051,3133246208.0,2884380672.0,,,,
SKIN,5.27,4.98,13.9,20979029.0,17568753.0,19.411030481218557,15.787237933266107,2005275,700309248.0,877117696.0,,,,
HASI,17.37,13.22,39.67,16871956.0,11498530.0,46.73141697243039,15.749048819191636,2293953,1884488704.0,4937689088.0,31.58182,7.519481,,
HPP,5.895,4.05,12.23,22171174.0,16392995.0,35.247854342662826,15.731154124508647,3638271,845673088.0,6594255872.0,,,,
WW,11.53,3.28,13.31,12360049.0,9554207.0,29.367607379660083,15.652349079027536,4566800,910479040.0,2259444736.0,,,,
DEI,12.36,10.09,18.24,26091226.0,25177045.0,3.6310099139910976,15.648038239633436,2234990,2462581504.0,8424570880.0,37.454544,-35.314285,,
LKNCY,35.13,11.8,38.88,39461976.0,37734933.0,4.5767750535028116,14.302428991887123,1900857,9692753920.0,10241122304.0,39.471912,18.296877,,
MIRM,28.12,17.49,33.393,5952187.0,5082508.0,17.111217532761387,15.54176980521176,580620,1076939776.0,1054814080.0,,,,
RDFN,5.94,3.08,17.68,17594318.0,15766484.0,11.593161798153602,15.436997587190174,3330117,677011520.0,1624307840.0,,,,
LTHM,18.415,16.42,35.81,27742420.0,28073259.0,-1.1784844787703486,15.436896622456816,3237979,3309452032.0,3291616768.0,10.463069,7.609504,,
LYFT,10.54,7.85,18.36,59485245.0,52173056.0,14.015259140656816,15.75204727841334,13515195,4070948608.0,3280718336.0,,,,
TDOC,19.025,18.04,34.73,25293340.0,29258483.0,-13.552114099695462,15.333757699209466,5573495,3138211840.0,3680277504.0,,,,
SRG,7.73,7.105,12.79,8605397.0,8771071.0,-1.8888685315624512,15.316863792106084,338159,434290720.0,859920064.0,,,,
GEVO,1.1,0.97,2.49,36159509.0,36253058.0,-0.2580444386236328,15.23127668205451,3548982,261143312.0,-41364748.0,,,,
TARS,14.06,11.33,25.25,4962883.0,4507688.0,10.09819224400624,15.215866202688824,524365,458588000.0,270172384.0,,,,
LUMN,1.34,1.27,7.6,153363934.0,153871752.0,-0.330026787502881,15.21482669129929,17975873,1350706688.0,21295542272.0,,,,
EBS,2.49,2.3908,21.88,7855089.0,8393472.0,-6.414306260865588,15.162215530719786,2423657,128999432.0,961853696.0,,,,
FATE,1.755,1.66,23.96,14899295.0,27635002.0,-46.08542094550961,15.116611405566424,2265103,172977008.0,-104027864.0,,,,
SMR,5.785,4.47,12.36,11211231.0,9857689.0,13.730824739956798,15.052026497250386,1421823,430885312.0,393991968.0,,,,
FND,84.49,63.51,116.03,15955595.0,13828761.0,15.3797870973401,14.989802053681315,1327267,8993369088.0,10432087040.0,33.13333,28.352348,,
GES,21.985,15.33,24.84,8026200.0,7790278.0,3.02841567399777,14.97780257635671,995006,1178116864.0,2145459456.0,10.084863,6.979365,,
REPL,14.85,14.42,29.523,8814577.0,8166137.0,7.940596637063522,14.940897988517923,561526,876095104.0,420253056.0,,,,
ZIM,9.715,9.05,29.38,17961601.0,17766635.0,1.097371561919294,14.940858274135321,2518098,1167917952.0,4155530240.0,0.84112555,-1.5848287,,
ZYXI,8.09,6.88,17.25,5242055.0,5899814.0,-11.148809098049533,14.934629629629628,403817,283959008.0,298927424.0,17.586956,14.709091,,
HE,12.5791,9.06,43.71,16329202.0,14092492.0,15.87164285777136,14.897275845710322,7982057,1378820224.0,4674797568.0,5.90568,5.7968197,,
IOVA,3.5819,3.395,10.14,36767836.0,30071242.0,22.269096833446387,14.839084009866422,5894004,887512384.0,729248256.0,,,,
VSCO,16.25,13.62,48.16,11469407.0,11841591.0,-3.143023602149407,14.842612805548457,2265603,1255694464.0,3935875840.0,6.770833,6.5261045,,
AFRM,18.81,8.62,25.63,44211653.0,39647146.0,11.51282616912703,18.44588540878125,14449281,5629776384.0,9849096192.0,,,,
NNOX,6.239,5.31,22.69,8180474.0,6819119.0,19.963795909706224,14.723728307157332,1110423,346637568.0,287999904.0,,,,
YOU,17.58,15.28,35.0,13223052.0,13449679.0,-1.6849993222886586,14.860383297709612,1289170,2674410240.0,1060167168.0,,,,
DNMR,1.67,1.57,4.59,14973943.0,15444517.0,-3.046867700686269,14.675300632136032,791001,170398448.0,481786528.0,,,,
PACW,7.755,2.48,30.07,17600951.0,12728916.0,38.27533310770532,14.666114772812492,5640146,930685312.0,2071984256.0,,,,
ANF,62.13,15.95,63.225,7358510.0,6389013.0,15.174440872166015,14.612656407934532,1909654,3128686592.0,3615333632.0,29.169012,14.25,,
HROW,15.56,10.06,28.25,5129305.0,3979917.0,28.879697742440356,14.607037388260958,545223,546394112.0,672988480.0,,,,
CORT,28.09,17.86,34.28,14970416.0,14797589.0,1.1679402637821608,14.598589914868304,740820,2880545280.0,2463219456.0,34.679012,30.868132,,
KPTI,1.1975,1.11,5.97,16642024.0,14710175.0,13.132739753266021,14.552948275108216,2110404,136940112.0,210115904.0,,,,
RXRX,6.575,4.54,16.745,30747782.0,23043410.0,33.4341662106433,15.069635067977533,5030356,1482925440.0,1022483200.0,,,,
DMTK,1.2099,1.1501,6.44,4883771.0,4819774.0,1.3278008470936604,14.500895213945741,258926,40748344.0,10182485.0,,,,
EH,19.2812,3.321,25.78,8729145.0,8324180.0,4.864923632117518,14.454021608643458,791829,1164439936.0,1274652800.0,,,,
PLL,34.47,32.51,76.779,2762786.0,2369735.0,16.586284964352554,14.392583833006006,350225,661682688.0,63124447232.0,,,,
WNC,21.79,15.35,30.1,6736833.0,6959508.0,-3.1995796254562823,14.333870219619824,453534,1024116992.0,1340402816.0,5.276029,6.9174604,,
MDGL,139.965,57.21,322.67,2645340.0,1961334.0,34.87452927446319,13.414979233542773,383307,2760011776.0,2394049024.0,,,,
BNGO,2.28,2.13,30.1,5063433.0,4770761.0,6.134702618722673,14.324362630274637,874760,80594352.0,12074537.0,,,,
MNKD,4.075,3.07,5.75,38347864.0,39141200.0,-2.026856611447784,14.289975166030814,2715356,1093546624.0,1301148160.0,,,,
WSM,162.44,109.22,164.47,9146614.0,9173660.0,-0.29482235007619645,14.259278197833034,1150267,10419714048.0,11236633600.0,11.26491,11.179628,,
HIBB,47.35,34.86,75.38,1766402.0,1902727.0,-7.16471674601769,14.251613631962822,330467,586874816.0,963339584.0,5.570588,5.718599,,
APLS,48.84,19.83,94.75,16773363.0,12306670.0,36.29489536974665,14.246467125882262,5260217,5750275072.0,5188313088.0,,,,
SMTC,22.29,17.82,35.18,9118428.0,7341122.0,24.210277393564635,14.208824702685183,1273614,1430447488.0,2651603968.0,,,,
PTON,5.205,4.305,17.83,50694163.0,38453094.0,31.833768694919584,14.954470812497323,11347545,1858221440.0,3281282560.0,,,,
WOLF,34.88,30.88,113.75,17745812.0,17444775.0,1.7256571093636919,14.167408069744047,2853457,4368999424.0,5429383680.0,,,,
DAWN,10.62,10.51,25.77,12307019.0,12054448.0,2.0952514789561496,14.15026019329959,733214,923661760.0,520536192.0,,,,
RH,244.535,227.0,406.38,2596906.0,2798804.0,-7.213724147886026,14.113466157976543,780353,4499492864.0,7708464640.0,18.539425,16.864483,,
PZZA,66.57,61.79,97.78,4613399.0,2068024.0,123.0824690622546,14.092351444394552,829696,2179295488.0,3123637248.0,31.7,21.754902,,
YETI,41.16,29.0,51.27,12208682.0,11418446.0,6.920696564138412,14.075599733703791,1417057,3570074112.0,3479835136.0,54.88,15.021897,,
FRPT,58.09,45.13,84.7,6788252.0,7049082.0,-3.700198125089196,14.077960969742218,585884,2801041664.0,2783463936.0,,,,
ARRY,19.105,13.86,26.64,21243861.0,21499115.0,-1.187276778602282,14.062263189250016,4511609,2886192384.0,3861716992.0,38.989796,12.996598,,
BKKT,1.1501,1.05,2.87,12833202.0,11931336.0,7.558801461965365,14.049033453098009,1020312,105056800.0,204165488.0,,,,
DBI,12.2,6.14,16.39,8154812.0,8367167.0,-2.5379557979421232,16.1802467470109,1560170,709216512.0,1834170752.0,6.0098524,7.922078,,
HSDT,7.87,5.69,20.95,79349.0,30526.0,159.93906833518966,14.020050603567693,398801,4454168.0,-4140059.0,0.17285307,-0.4769697,,
CELH,166.4,78.25,206.85,10716872.0,10669869.0,0.4405208723743469,13.937709386769878,1248226,12794695680.0,12729189376.0,,,,
