tickers
PTCT
TRIP
OZK
CALM
FTCH
ALDX
SRRK
RGEN
AGIO
OPI
BHVN
CHK
AKRO
STOK
TSCO
SDGR
MNRO
NCLH
MORF
PRO
ARDX
CENX
DDD
JMIA
DCGO
DOCN
AAP
GCI
DK
ALVR
LCII
CHRW
RVMD
FSLY
WTI
NBR
PII
MODG
REKR
BCAB
AZTA
XMTR
LRN
SOVO
MAXN
XAIR
GVA
OTTR
DYN
FREY
INMD
LCID
CCO
XNCR
COIN
CROX
NUVL
ASRT
PBF
WULF
CLF
BBIO
KURA
LAD
SKLZ
FDMT
ZION
DRRX
MGY
NTLA
WHR
AEO
AX
TWOU
PRCT
DBRG
EVA
EFC
ARR
CRI
EHAB
RIVN
MLI
RGNX
KBH
THO
BLDP
GIII
CRMD
IGMS
BANC
TERN
SDIG
SLRN
HUT
VTGN
UNIT
INSM
ETSY
MP
RCUS
LAAC
ABCL
LAC
QLYS
CRNX
MDRX
SASI
AYX
BPT
GRTS
EMBC
BDN
BFH
HAYW
IMGN
SOS
SIGA
CCL
OUST
AMC
SFIX
CFLT
JOBY
SMCI
CAL
APAM
OCUP
NEPT
COCO
CWK
ENPH
THRY
MRSN
SHAK
LYEL
DEN
IRTC
ADTX
AN
BLFS
ETNB
ACRS
SIX
CKPT
HIMS
ODD
HRB
ASPN
TOON
SAVE
GERN
ALEC
LXRX
CLVT
NRGV
FTCI
PRTA
CAR
JKS
MAC
SYM
CDMO
IMTX
TALO
FIVE
WOOF
MRUS
CLSK
INVZ
MC
CDLX
VSAT
MNMD
OHI
WE
WKC
UTZ
PLX
AMRK
IIPR
STR
OLLI
MGNX
REI
EZPW
NARI
RL
CTRE
HMST
DRH
ESRT
NXT
SABR
LBRT
GOLF
PLTR
SKT
WING
AYI
CAVA
SHOO
PRME
PCVX
GO
NVCR
NIO
SPB
GNRC
NXGN
TREX
SILV
FLNC
VICR
TKO
SPHR
TDW
PCRX
MASI
MODV
ALB
CBAY
AHT
SHO
CDE
Z
RCL
GCO
MTDR
TGI
AGEN
ENSG
ORA
CSIQ
ADPT
VLD
EVH
AKAM
AMRC
BPMC
SFBS
PATH
COMM
NVRO
CDAY
ENV
VFC
EPC
ASND
CLAR
KTB
VAC
WFRD
MODN
TDUP
BJ
AMED
SUPN
FTAI
SGH
LNTH
BJRI
CAN
LICY
LSCC
MUSA
TROW
STX
CARG
FNKO
DNLI
BKD
SBGI
KRYS
CD
KOD
CEIX
LPSN
ACET
CNM
PRGS
TPX
NVTS
CRC
TPVG
PHAT
FFWM
ZYME
MCFT
NXST
AHCO
NKTX
PTLO
GROM
EGBN
CHEF
FTI
CRGY
WRBY
PNT
HP
PANW
QSI
COGT
MITK
CMAX
BKU
VSH
EOLS
IVR
IMCR
QURE
MIDD
AIV
CLRB
HOUS
EXPE
NWBI
CYRX
MRNS
SMRT
ITGR
FVRR
CMPS
OMCL
RWT
DKS
FOLD
CYH
AA
NSSC
AESI
KMT
AMSC
DNUT
ATEC
FULC
NLST
CE
IONS
ALXO
ATEX
WAL
CDNA
GPCR
QNCX
ONON
LFMD
SLDP
BARK
SMG
WWW
EYE
PFS
STWD
SAH
NNDM
PK
AG
DGII
SBRA
DBX
ARAY
XRX
CPS
LZB
BHC
INN
RBA
RRC
PD
URBN
SELB
CARM
AXNX
CFG
BIPC
BFRG
SNDL
SPRY
RPD
DY
BC
HIW
JXN
SKWD
LFCR
ROKU
TH
YY
WK
BILL
WAT
MYGN
ATSG
ORC
CRK
KRC
XPEV
SITE
AEIS
MVST
HAS
NINE
NTRA
GH
RHI
CPRX
CTKB
NRG
STKL
IBRX
BIGC
NET
CVI
TOST
PGNY
EQT
SHOT
CHRD
PGEN
OWL
EPRT
PEN
CRF
HLIT
GLBS
AR
XPO
PBI
X
CTLT
NAVI
NATI
ENR
NXE
SLE
GFAI
DH
MRVI
VRNA
ARVN
PRPL
WBA
XERS
LIND
STNE
TSHA
PETQ
HLX
CDZI
ALPN
BIVI
ATI
CATY
SLI
ENTA
APLE
PYCR
UNFI
ENOV
GBCI
CUE
CRDO
DUOL
IQ
ARWR
CHTR
SGML
FFIN
FUTU
AMR
RNG
BOX
SAIA
DINO
TPG
IMVT
ASNS
RLJ
KNSA
TOL
RARE
ARCH
ASLE
SLCA
IMUX
ACAD
PTGX
NOTE
CLNE
ABNB
NFE
TMST
CVBF
ERII
MGNI
AGNC
PRVA
WU
OGS
HCC
STNG
PAGP
BILI
S
BXP
IMAX
SSB
U
GTHX
AMPH
LYV
GWH
GTN
SGRY
DFH
ON
SYNA
ARIS
CHKP
ULCC
ATUS
DIN
GTLB
OXY
POWI
ALKS
PARR
APPN
TNGX
VLY
WYNN
DSGN
NOTV
DQ
ORGN
GRWG
DCTH
CLM
SAFE
SRPT
DLR
JAZZ
HUMA
PAAS
NCR
WEST
OCUL
RYAN
ACVA
SWK
DCPH
JACK
UPWK
BRZE
DKNG
CUBI
PODD
APGE
PAG
MKTX
SM
DOCS
VRNS
ITOS
ALLK
SNAP
KOS
TWNK
ZM
BALL
SLGC
BMBL
APPS
HESM
SMX
PGRE
HST
CNQ
PKST
LQDA
WSC
FHB
SGEN
OBE
FLR
DLX
SWN
SEAT
UPBD
CCJ
BZH
HTZ
CG
DX
HALO
ALIT
CIFR
BAND
EPM
TXG
VBTX
IBP
YELP
AQN
ERAS
ALLY
SILK
AMBC
TNYA
MRCY
MRNA
GNK
APP
UAL
RKLB
BRP
MLKN
PECO
FULT
BBY
SKYW
ICUI
VIR
KW
ZD
KEY
LEG
DRQ
BORR
SEAS
BKE
MXL
RES
ACCD
AUB
AVRO
ANNX
SJM
CADE
GDS
CFFN
WIX
AMCX
EXPD
RCM
WH
PTEN
VRRM
DFLI
ETWO
GBX
KODK
URGN
ELF
MHO
RMBS
ZUMZ
GSL
ASAN
BDTX
SR
FPI
EQX
LH
CHGG
TPR
CCS
CCCC
QNST
CHWY
PHM
TTGT
TBBK
